Company, Country, Sector, Climate score, Water Score, Timber score, Palm oil score, Cattle production score, Soy score
The Dow Chemical Company,USA,Materials,B,B,C,C,*,*
"The Hain Celestial Group, Inc.",USA,Consumer Staples,Not scored,F,F,F,F,F
"The Hartford Financial Services Group, Inc.",USA,Financials,A-,Not requested,Not requested,Not requested,Not requested,Not requested
The Hershey Company,USA,Consumer Staples,C,B,D,C,D,D
"The Home Depot, Inc.",USA,Consumer Discretionary,A-,F,F,F,F,F
The J.M. Smucker Company,USA,Consumer Staples,C,D,F,F,F,F
The Kraft Heinz Company,USA,Consumer Staples,C,C,*,B,*,*
"The Michaels Companies, Inc",USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
The Mosaic Company,USA,Materials,A,A-,Not requested,Not requested,Not requested,Not requested
The Port Authority of New York & New Jersey,USA,Industrials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
The Priceline Group Inc,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
The Southern Company,USA,Utilities,F,F,Not requested,Not requested,Not requested,Not requested
"The Travelers Companies, Inc.",USA,Financials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Thermo Fisher Scientific Inc.,USA,Health Care,D,D,Not requested,Not requested,Not requested,Not requested
Thomson Reuters Corporation,USA,Consumer Discretionary,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
"Thor Industries, Inc.",USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Throgmorton Trust plc,USA,Financials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Tiffany & Co.,USA,Consumer Discretionary,C,F,Not requested,Not requested,Not requested,Not requested
Time Inc.,USA,Consumer Discretionary,Not requested,Not requested,B,*,*,*
Time Warner Cable Inc.,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
Time Warner Inc.,USA,Consumer Discretionary,C-,Not requested,Not requested,Not requested,Not requested,Not requested
"TJX Companies, Inc.",USA,Consumer Discretionary,B,F,F,F,F,F
Toll Brothers Inc.,USA,Consumer Discretionary,F,F,F,F,F,F
TopBuild Corp,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Torchmark Corporation,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Total System Services (TSYS),USA,Information Technology,D,Not requested,Not requested,Not requested,Not requested,Not requested
Towers Watson & Co,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Tractor Supply Co.,USA,Consumer Discretionary,F,F,Not requested,Not requested,Not requested,Not requested
Trans-Expedite Inc.,USA,Industrials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Transdigm Group Incorporated,USA,Industrials,F,F,Not requested,Not requested,Not requested,Not requested
TreeHouse Foods Inc,USA,Consumer Staples,D,Not requested,F,F,F,F
Trendway Corporation,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
TRI Pointe Homes Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Trimble Navigation Ltd.,USA,Information Technology,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
"Trinity Industries, Inc.",USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Trinseo LLC,USA,Materials,D,Not requested,Not requested,Not requested,Not requested,Not requested
Tripadvisor Inc,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
TRW Automotive Holdings Corp,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
