Company, Country, Sector, Climate score, Water Score, Timber score, Palm oil score, Cattle production score, Soy score
Ashley Furniture Industries Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
"Assurant, Inc.",USA,Financials,D,Not requested,Not requested,Not requested,Not requested,Not requested
AT&T Inc.,USA,Telecommunication Services,A-,D,Not requested,Not requested,Not requested,Not requested
Atlantic Power Corporation,USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
Atmos Energy Corp,USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Autodesk, Inc.",USA,Information Technology,A-,Not requested,F,F,F,F
"Automatic Data Processing, Inc.",USA,Information Technology,A-,Not requested,Not requested,Not requested,Not requested,Not requested
"AutoNation, Inc.",USA,Consumer Discretionary,F,F,Not requested,Not requested,Not requested,Not requested
"AutoZone, Inc.",USA,Consumer Discretionary,F,F,Not requested,Not requested,Not requested,Not requested
AvalonBay Communities,USA,Real Estate,C,Not requested,Not requested,Not requested,Not requested,Not requested
Avangrid Inc,USA,Utilities,A-,Not requested,Not requested,Not requested,Not requested,Not requested
Avery Dennison Corporation,USA,Materials,B,C,F,F,F,F
Avis Budget Group,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Avista Corporation,USA,Utilities,F,Not requested,F,F,F,F
Avnet Inc.,USA,Information Technology,B,F,Not requested,Not requested,Not requested,Not requested
"Avon Products, Inc.",USA,Consumer Staples,D,F,D,D,*,*
Axalta Coating Systems,USA,Materials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Axiall Corp,USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Axis Capital Holdings Ltd,USA,Financials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
"B&G Foods, Inc.",USA,Consumer Staples,Not requested,Not requested,*,C,D,D
Baker Hughes Incorporated,USA,Energy,B,F,Not requested,Not requested,Not requested,Not requested
Ball Corporation,USA,Materials,B,C,Not requested,Not requested,Not requested,Not requested
Bank of America,USA,Financials,A,B,Not requested,Not requested,Not requested,Not requested
Baxalta Inc,USA,Health Care,Not scored,F,Not requested,Not requested,Not requested,Not requested
Baxter International Inc.,USA,Health Care,A-,B,Not requested,Not requested,Not requested,Not requested
BB&T Corporation,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
BE Aerospace,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Bechtel Corporation,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Becton, Dickinson and Co.",USA,Health Care,B,B,Not requested,Not requested,Not requested,Not requested
Bed Bath & Beyond Inc.,USA,Consumer Discretionary,F,F,Not requested,Not requested,Not requested,Not requested
Bel Fuse Inc.,USA,Information Technology,D,D,Not requested,Not requested,Not requested,Not requested
Bemis Company,USA,Materials,C,B-,Not requested,Not requested,Not requested,Not requested
Berkshire Hathaway,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Bernhardt Design a Division of Bernhardt Furniture Company,USA,Consumer Discretionary,C-,Not requested,Not requested,Not requested,Not requested,Not requested
Bernhardt Residential a Division of Bernhardt Furniture Company,USA,Consumer Discretionary,C-,Not requested,Not requested,Not requested,Not requested,Not requested
Berry Plastics,USA,Materials,B,Not requested,Not requested,Not requested,Not requested,Not requested
"Best Buy Co., Inc.",USA,Consumer Discretionary,A-,C,B,*,*,*
"Big Lots, Inc.",USA,Consumer Discretionary,F,Not requested,Not scored,Not scored,Not scored,Not scored
Biogen Inc.,USA,Health Care,A,A,Not requested,Not requested,Not requested,Not requested
Biomarin Pharmaceutical Inc.,USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
Birla Carbon,USA,Materials,C,B,Not requested,Not requested,Not requested,Not requested
Black Hills Corporation,USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
BlackRock,USA,Financials,B,Not requested,Not requested,Not requested,Not requested,Not requested
Bloomin' Brands Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Blue Buffalo Pet Products,USA,Consumer Staples,Not requested,Not requested,F,F,F,F
BMC Stock Holdings Inc,USA,Industrials,Not requested,Not requested,F,F,F,F
BNY Mellon,USA,Financials,A,Not requested,Not requested,Not requested,Not requested,Not requested
"Boardwalk Pipeline Partners, LP",USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Boart Longyear,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Boeing Company,USA,Industrials,A-,F,Not requested,Not requested,Not requested,Not requested
Boise Cascade Co,USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
BorgWarner,USA,Consumer Discretionary,C,Not scored,Not requested,Not requested,Not requested,Not requested
Boston Properties,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Boston Scientific Corporation,USA,Health Care,C-,F,Not requested,Not requested,Not requested,Not requested
Brady Corporation,USA,Industrials,Not requested,Not requested,F,F,F,F
Breitburn Energy Partners LP,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,
"Brinker International, Inc.",USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Bristol-Myers Squibb,USA,Health Care,A-,B,Not requested,Not requested,Not requested,Not requested
Brixmor Property Group Inc,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Broadcom Corporation,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
BROADRIDGE FINANCIAL SOLUTIONS INC,USA,Information Technology,C,Not requested,Not requested,Not requested,Not requested,Not requested
"Brocade Communications Systems, Inc.",USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Brookfield Property Partners,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Brown-Forman Corporation,USA,Consumer Staples,B,B,Not requested,Not requested,Not requested,Not requested
"Buckeye Partners, LP",USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Buffalo Wild Wings Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Bunge,USA,Consumer Staples,C,B-,*,B,*,C
Burlington Stores Inc,USA,Consumer Discretionary,Not requested,Not requested,Not scored,Not scored,Not scored,Not scored
C&S Wholesale Markets,USA,Consumer Staples,F,Not requested,Not requested,Not requested,Not requested,Not requested
"C.H. Robinson Worldwide, Inc.",USA,Industrials,D,Not requested,Not requested,Not requested,Not requested,Not requested
CA Technologies,USA,Information Technology,A-,C,Not requested,Not requested,Not requested,Not requested
Cabela's Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Cablevision Systems Corporation,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
Cabot Corporation,USA,Materials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Cabot Oil & Gas Corporation,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
"Cadence Design Systems, Inc.",USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Caesars Entertainment,USA,Consumer Discretionary,A-,A,Not requested,Not requested,Not requested,Not requested
Cal Development,USA,Industrials,D-,Not requested,Not requested,Not requested,Not requested,Not requested
CalAtlantic Group Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Caleres Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
California Resources Corp,USA,Energy,B,Not requested,Not requested,Not requested,Not requested,Not requested
Calpine Corporation,USA,Utilities,F,F,Not requested,Not requested,Not requested,Not requested
Calumet Specialty Products Partners LP,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Camden Property Trust,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Cameron International Corporation,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Campbell Soup Company,USA,Consumer Staples,B-,B,B,B,B,B
Capital One Financial,USA,Financials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Cardinal Health Inc.,USA,Health Care,C,Not requested,Not requested,Not requested,Not requested,Not requested
Carefusion Corp,USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
Cargill,USA,Consumer Staples,B-,Not requested,*,B,*,C
CarMax Inc.,USA,Consumer Discretionary,F,F,Not requested,Not requested,Not requested,Not requested
Carnival Corporation,USA,Consumer Discretionary,B,B,F,F,F,F
Carpenter Technology Corp.,USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Carter's Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Casey's General Stores Inc,USA,Consumer Staples,Not requested,Not requested,F,F,F,F
Caterpillar Inc.,USA,Industrials,F,F,Not requested,Not requested,Not requested,Not requested
"CBRE Group, Inc.",USA,Real Estate,B,Not requested,Not requested,Not requested,Not requested,Not requested
CBS Corp.,USA,Consumer Discretionary,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
CDK Global Inc,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
CDW Corporation,USA,Information Technology,D,Not requested,Not requested,Not requested,Not requested,Not requested
Celanese Corporation,USA,Materials,Not scored,F,Not requested,Not requested,Not requested,Not requested
Celgene Corporation,USA,Health Care,C,B-,Not requested,Not requested,Not requested,Not requested
Centene Corporation,USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
"CenterPoint Energy, Inc.",USA,Utilities,F,F,Not requested,Not requested,Not requested,Not requested
Century Aluminum Co,USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
CenturyLink,USA,Telecommunication Services,B,Not requested,Not requested,Not requested,Not requested,Not requested
Cerner Corp,USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
"CF Industries Holdings, Inc.",USA,Materials,F,F,Not requested,Not requested,Not requested,Not requested
Charles Schwab Corporation,USA,Financials,D,Not requested,Not requested,Not requested,Not requested,Not requested
Charter Communications Inc,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
Cheesecake Factory Bakery Inc.,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Chemours Co/The,USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Cheniere Energy,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Chesapeake Energy Corporation,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
Chevron Corporation,USA,Energy,B,F,Not requested,Not requested,Not requested,Not requested
Chicago Bridge & Iron Co. N.V.,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Chico's Fas, Inc.",USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Chipotle Mexican Grill,USA,Consumer Discretionary,F,F,Not scored,Not scored,Not scored,Not scored
CHS Inc.,USA,Consumer Staples,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Church & Dwight Co., Inc",USA,Consumer Staples,C,F,*,B,*,*
Cigna,USA,Health Care,B,Not requested,Not requested,Not requested,Not requested,Not requested
Cimarex Energy Co.,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
Cincinnati Financial Corporation,USA,Financials,C,Not requested,Not requested,Not requested,Not requested,Not requested
"Cinemark Holdings, Inc",USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
Cintas Corporation,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Circle Oil Plc,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Cisco Systems, Inc.",USA,Information Technology,A,B,Not requested,Not requested,Not requested,Not requested
CIT Group Inc.,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Citgo,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Citigroup Inc.,USA,Financials,A-,Not requested,Not requested,Not requested,Not requested,Not requested
Citizens Financial Group Inc,USA,Financials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Citrix Systems,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Clarion Partners,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Clearwater Paper,USA,Materials,F,Not requested,F,F,F,F
Cleco Corporation,USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
Cliffs Natural Resources Inc,USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Clorox Company,USA,Consumer Staples,B,B,B,B,*,B
Cloud Peak Energy Inc,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
CME Group Inc.,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
CMS Energy Corporation,USA,Utilities,B-,A-,Not requested,Not requested,Not requested,Not requested
Compatico,USA,Industrials,D,Not requested,Not requested,Not requested,Not requested,Not requested
Computer Sciences Corporation (CSC),USA,Information Technology,B,Not requested,Not requested,Not requested,Not requested,Not requested
Con-Way Inc.,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Conagra Brands Inc,USA,Consumer Staples,B,A,B,B,B,B
Concho Resources,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
ConocoPhillips,USA,Energy,B,F,Not requested,Not requested,Not requested,Not requested
CONSOL Energy Inc.,USA,Energy,C,B,Not requested,Not requested,Not requested,Not requested
"Consolidated Edison, Inc.",USA,Utilities,F,F,Not requested,Not requested,Not requested,Not requested
"Constellation Brands, Inc.",USA,Consumer Staples,B,A-,Not requested,Not requested,Not requested,Not requested
Continental Resources Inc,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
ConvaTec,USA,Health Care,C-,Not requested,Not requested,Not requested,Not requested,Not requested
"Cooper Companies, Inc.",USA,Health Care,F,F,Not requested,Not requested,Not requested,Not requested
Cooper Tire & Rubber,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
Corning Incorporated,USA,Information Technology,C-,F,Not requested,Not requested,Not requested,Not requested
"CoStar Goup, Inc.",USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Costco Wholesale Corporation,USA,Consumer Staples,C,F,Not scored,Not scored,Not scored,Not scored
Coty Beauty,USA,Consumer Staples,F,F,F,F,F,F
Covanta Energy Corporation,USA,Industrials,C,Not requested,F,F,F,F
Cox Enterprises Inc.,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
CR Bard Inc,USA,Health Care,F,F,Not requested,Not requested,Not requested,Not requested
Cracker Barrel Old Country Store Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
CREE INC.,USA,Information Technology,B,Not requested,Not requested,Not requested,Not requested,Not requested
CROPP Coop./Organic Valley,USA,Consumer Staples,Not requested,B,Not requested,Not requested,Not requested,Not requested
Crown Castle International Corp,USA,Real Estate,F,Not requested,Not requested,Not requested,Not requested,Not requested
Crown Holdings,USA,Materials,A-,F,Not requested,Not requested,Not requested,Not requested
CSRA,USA,Information Technology,C,Not requested,Not requested,Not requested,Not requested,Not requested
CSX Corporation,USA,Industrials,A-,Not requested,Not requested,Not requested,Not requested,Not requested
Cumberland Gulf Group,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
Cummins Inc.,USA,Industrials,B,B,Not requested,Not requested,Not requested,Not requested
CVR Energy Inc,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
CVS Health,USA,Consumer Staples,C,B,Not scored,Not scored,Not scored,Not scored
Cypress Semiconductor Corporation,USA,Information Technology,C,Not requested,Not requested,Not requested,Not requested,Not requested
Cytec Industries Inc.,USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"D.R. Horton, Inc.",USA,Consumer Discretionary,D-,F,F,F,F,F
Dana,USA,Consumer Discretionary,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Danaher Corporation,USA,Industrials,D-,D,Not requested,Not requested,Not requested,Not requested
"Darden Restaurants, Inc.",USA,Consumer Discretionary,F,F,F,F,F,F
Darling Ingredients Inc,USA,Consumer Staples,F,Not requested,Not requested,Not requested,Not requested,Not requested
Dave & Buster's Entertainment Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
"Davies Office Refurbising, Inc.",USA,Industrials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
DaVita Inc.,USA,Health Care,C,F,Not requested,Not requested,Not requested,Not requested
Dean Foods Company,USA,Consumer Staples,C,B-,F,F,F,F
Deckers Outdoor Corp.,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Deere & Company,USA,Industrials,C,B,Not requested,Not requested,Not requested,Not requested
Delek US Holdings Inc,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Dell Inc.,USA,Information Technology,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Dell Technologies,USA,Information Technology,B,B,Not requested,Not requested,Not requested,Not requested
Deloitte Touche Tohmatsu Limited,USA,Industrials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Delta Air Lines,USA,Industrials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Deluxe Corp,USA,Industrials,Not requested,Not requested,F,F,F,F
Denbury Resources Inc,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Dentsply Sirona Inc.,USA,Health Care,C,F,Not requested,Not requested,Not requested,Not requested
Devon Energy Corporation,USA,Energy,C,B-,Not requested,Not requested,Not requested,Not requested
"DexCom, Inc.",USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
Diamond Offshore Drilling,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Diamondback Energy Inc,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Dick's Sporting Goods, Inc.",USA,Consumer Discretionary,F,F,F,F,F,F
Diebold Nixdorf,USA,Information Technology,C,Not requested,Not requested,Not requested,Not requested,Not requested
Digital Realty Trust Inc,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Dillard's Inc.,USA,Consumer Discretionary,D,Not requested,Not scored,Not scored,Not scored,Not scored
DineEquity Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Discover Financial Services,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Discovery Communications, Inc.",USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
Dish Network Corp,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
Doctor's Associates Inc,USA,Consumer Staples,Not requested,Not requested,F,F,F,F
Dollar General Corporation,USA,Consumer Discretionary,F,F,F,F,F,F
Dollar Tree Inc,USA,Consumer Discretionary,F,F,F,F,F,F
Dominion Questar Corp,USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Dominion Resources, Inc.",USA,Utilities,F,B,F,F,F,F
"Domino's Pizza, Inc.",USA,Consumer Discretionary,F,Not requested,F,F,F,F
Dover Corporation,USA,Industrials,B,F,Not requested,Not requested,Not requested,Not requested
Dr Pepper Snapple Group Inc,USA,Consumer Staples,B,B-,Not requested,Not requested,Not requested,Not requested
DSW Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
DTE Energy Company,USA,Utilities,C,B,F,F,F,F
Duke Energy Corporation,USA,Utilities,C,F,Not requested,Not requested,Not requested,Not requested
"DUKE ENERGY INTERNATIONAL, LATIN AMERICA, LTD.",USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
Duke Realty Corp,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Dun & Bradstreet Corporation,USA,Industrials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Dunkin' Brands Group,USA,Consumer Discretionary,C,Not requested,B-,B,*,*
"DW Morgan, LLC",USA,Industrials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Dynatrace,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Dynegy Inc.,USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
E TRADE Financial Corporation,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
E.I. du Pont de Nemours and Company,USA,Materials,A-,B,F,F,F,F
Eagle Materials Inc,USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Eastman Chemical Company,USA,Materials,C,D,Not requested,Not requested,Not requested,Not requested
Eaton Corporation,USA,Industrials,A-,Not scored,Not requested,Not requested,Not requested,Not requested
Eaton Vance,USA,Financials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
eBay Inc.,USA,Information Technology,B,Not requested,Not requested,Not requested,Not requested,Not requested
Ecolab Inc.,USA,Materials,A-,A,Not requested,Not requested,Not requested,Not requested
"Ecova, Inc.",USA,Industrials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Edgewell Personal Care,USA,Consumer Staples,F,F,F,F,F,F
Edison International,USA,Utilities,F,F,F,F,F,F
Edwards Lifesciences Corp,USA,Health Care,C,B,Not requested,Not requested,Not requested,Not requested
El Paso Electric,USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
Electronic Arts Inc.,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Eli Lilly & Co.,USA,Health Care,B,A-,Not requested,Not requested,Not requested,Not requested
EMC Corporation,USA,Information Technology,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Emerson Electric Co.,USA,Industrials,D,D,Not requested,Not requested,Not requested,Not requested
Empire District Electric Co,USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
Energen Corp.,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Energizer Holdings, Inc.",USA,Consumer Staples,F,Not requested,F,F,F,F
Energy Future Holdings Corp.,USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
Energy Transfer,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Energy Transfer Partners LP,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Energy XXI,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Entergy Corporation,USA,Utilities,F,F,Not requested,Not requested,Not requested,Not requested
Enterprise Holdings,USA,Industrials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Enterprise Products Partners L.P.,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Envision Healthcare Holdings Inc,USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
"EOG Resources, Inc.",USA,Energy,D-,D,Not requested,Not requested,Not requested,Not requested
EP Energy Corp,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
EQT Corporation,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
Equifax Inc.,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"EQUINIX, INC.",USA,Information Technology,A-,Not requested,Not requested,Not requested,Not requested,Not requested
Equity Residential,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Ernst & Young LLP (USA),USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Essex Property Trust, Inc.",USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Estee Lauder Companies Inc.,USA,Consumer Staples,A-,F,F,F,F,F
EV Energy Partners,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Everest Re Group Ltd,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Evergreen Packaging Inc.,",USA,Materials,Not requested,Not requested,Not scored,Not scored,Not scored,Not scored
Eversource Energy,USA,Utilities,B,F,Not requested,Not requested,Not requested,Not requested
"Exco Resources, Inc.",USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Exelon Corporation,USA,Utilities,B,A-,Not requested,Not requested,Not requested,Not requested
"Expedia, Inc.",USA,Consumer Discretionary,D,Not requested,Not requested,Not requested,Not requested,Not requested
Expeditors International of Washington,USA,Industrials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Express Scripts Holding Company,USA,Health Care,C,Not scored,Not requested,Not requested,Not requested,Not requested
Extra Space Storage Inc,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Exxon Mobil Corporation,USA,Energy,C,F,Not requested,Not requested,Not requested,Not requested
"F5 Networks, Inc.",USA,Information Technology,Not scored,F,Not requested,Not requested,Not requested,Not requested
Facebook,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Family Dollar Stores, Inc.",USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
Farmer Brothers,USA,Consumer Staples,A,Not requested,Not requested,Not requested,Not requested,Not requested
Fastenal Company,USA,Industrials,F,F,Not requested,Not requested,Not requested,Not requested
Federal Realty Investment Trust,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
FedEx Corporation,USA,Industrials,B,Not requested,Not requested,Not requested,Not requested,Not requested
Fidelity National Financial Inc,USA,Financials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Fidelity National Information Services,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Fifth Third Bancorp,USA,Financials,C,Not requested,Not requested,Not requested,Not requested,Not requested
FireEye Inc,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
First American Financial Corporation,USA,Real Estate,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
First Data Corporation,USA,Financials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
First Republic Bank,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
First Solar Inc,USA,Information Technology,B,B,Not requested,Not requested,Not requested,Not requested
FirstEnergy Corporation,USA,Utilities,C,B,Not requested,Not requested,Not requested,Not requested
"Fiserv, Inc.",USA,Information Technology,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
"FleetCor Technologies, Inc.",USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Flextronics International,USA,Information Technology,C,Not requested,Not requested,Not requested,Not requested,Not requested
FLIR Systems,USA,Information Technology,F,F,Not requested,Not requested,Not requested,Not requested
Flowers Foods Inc,USA,Consumer Staples,Not requested,B,*,B-,*,*
Flowserve Corporation,USA,Industrials,F,F,Not requested,Not requested,Not requested,Not requested
Fluor Corporation,USA,Industrials,D,D,Not requested,Not requested,Not requested,Not requested
FMC Corp,USA,Materials,B,F,Not requested,Not requested,Not requested,Not requested
FMC Technologies,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
Foot Locker Inc,USA,Consumer Discretionary,F,F,F,F,F,F
Ford Motor Company,USA,Consumer Discretionary,A-,A,F,F,F,F
Forest City Realty Trust,USA,Real Estate,C,Not requested,Not requested,Not requested,Not requested,Not requested
FORTINET INC,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Fortive,USA,Industrials,F,F,Not requested,Not requested,Not requested,Not requested
"Fortune Brands, Inc.",USA,Consumer Discretionary,F,F,Not requested,Not requested,Not requested,Not requested
"Fossil, Inc.",USA,Consumer Discretionary,F,Not requested,F,F,F,F
"Franklin Resources, Inc.",USA,Financials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Freeport-McMoRan Inc.,USA,Materials,C,B,Not requested,Not requested,Not requested,Not requested
Freescale Semiconductor Ltd,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Fresherized Foods,USA,Consumer Staples,Not requested,B,Not requested,Not requested,Not requested,Not requested
Frontier Communications Corp,USA,Telecommunication Services,F,Not requested,Not requested,Not requested,Not requested,Not requested
G-III Apparel Group Ltd,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
GameStop Corp.,USA,Consumer Discretionary,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
"Gannett Co., Inc.",USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Gap Inc.,USA,Consumer Discretionary,A-,A-,Not scored,Not scored,Not scored,Not scored
"Gartner, Inc.",USA,Information Technology,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
General Cable Corp,USA,Industrials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
