Add,"AUTONATION, INC.",AN,Retail,31-Dec-16,Climate Risk,S&P 500,View Report
Add,AUTOZONE INC,AZO,Retail,26-Aug-17,Climate Risk,S&P 500,View Report
Add,AVALONBAY COMMUNITIES INC,AVB,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,AVERY DENNISON CORP,AVY,Consumer Goods,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,AVON PRODUCTS INC,AVP,Consumer Goods,31-Dec-16,Climate Risk,S&P 500,View Report
Add,BAKER HUGHES INC,BHI,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,BALL CORP,BLL,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,View Report
Add,BANK OF AMERICA CORP /DE/,BAC,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,BANK OF NEW YORK MELLON CORP,BK,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,BARD C R INC /NJ/,BCR,Medical Equipment Manufacturing,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,BAXTER INTERNATIONAL INC,BAX,Medical Equipment Manufacturing,31-Dec-16,Climate Risk,S&P 500,View Report
Add,BB&T CORP,BBT,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,BED BATH & BEYOND INC,BBBY,Retail,25-Feb-17,Climate Risk,S&P 500,No disclosure
Add,BERKSHIRE HATHAWAY INC,BRK,Insurance Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,BEST BUY CO INC,BBY,Electronics,28-Jan-17,Climate Risk,S&P 500,View Report
Add,BIOGEN INC.,BIIB,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,BLACKROCK INC.,BLK,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,BOEING CO,BA,Aerospace & Defense,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,BORGWARNER INC,BWA,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,BOSTON PROPERTIES INC,BXP,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,BOSTON SCIENTIFIC CORP,BSX,Medical Equipment Manufacturing,31-Dec-16,Climate Risk,S&P 500,View Report
Add,BRISTOL MYERS SQUIBB CO,BMY,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,BROWN FORMAN CORP,BF,Food & Beverages,30-Apr-17,Climate Risk,S&P 500,View Report
Add,C H ROBINSON WORLDWIDE INC,CHRW,Transportation,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"CA, INC.",CA,Information Technology,31-Mar-17,Climate Risk,S&P 500,No disclosure
Add,CABOT OIL & GAS CORP,COG,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,CAMPBELL SOUP CO,CPB,Food & Beverages,30-Jul-17,Climate Risk,S&P 500,View Report
Add,CAPITAL ONE FINANCIAL CORP,COF,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,CARDINAL HEALTH INC,CAH,Wholesale,30-Jun-17,Climate Risk,S&P 500,No disclosure
Add,CARMAX INC,KMX,Retail,28-Feb-17,Climate Risk,S&P 500,View Report
Add,CARNIVAL CORP,CCL,Hospitality & Tourism,30-Nov-16,Climate Risk,S&P 500,View Report
Add,CATERPILLAR INC,CAT,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"CBOE HOLDINGS, INC.",CBOE,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,"CBRE GROUP, INC.",CBG,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,CBS CORP,CBS,Telecommunications,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,CELGENE CORP /DE/,CELG,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,CENTENE CORP,CNC,Insurance Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,CENTERPOINT ENERGY INC,CNP,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"CENTURYLINK, INC",CTL,Telecommunications,31-Dec-16,Climate Risk,S&P 500,View Report
Add,CERNER CORP /MO/,CERN,Information Technology,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,"CF INDUSTRIES HOLDINGS, INC.",CF,Chemicals,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"CHARTER COMMUNICATIONS, INC. /MO/",CHTR,Media,31-Dec-16,Climate Risk,S&P 500,View Report
Add,CHESAPEAKE ENERGY CORP,CHK,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,CHEVRON CORP,CVX,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,CHIPOTLE MEXICAN GRILL INC,CMG,Food & Beverages,31-Dec-16,Climate Risk,S&P 500,View Report
Add,CHUBB LTD,CB,Insurance Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,CHURCH & DWIGHT CO INC /DE/,CHD,Consumer Goods,31-Dec-16,Climate Risk,S&P 500,View Report
Add,CIGNA CORP,CI,Insurance Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,CIMAREX ENERGY CO,XEC,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,CINCINNATI FINANCIAL CORP,CINF,Insurance Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,CINTAS CORP,CTAS,Apparel & Textiles,31-May-17,Climate Risk,S&P 500,No disclosure
,"CISCO SYSTEMS, INC.",CSCO,Information Technology,29-Jul-17,Climate Risk,S&P 500,No disclosure
Add,CITIGROUP INC,C,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,CITIZENS FINANCIAL GROUP INC/RI,CFG,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,View Report
