Company,2020 Rating,Total Board,# of women,% of Women,Sector,State,City
Anthem Inc.,,8,2,25%,Healthcare,Indiana,INDIANAPOLIS 
ANWORTH MORTGAGE ASSET CORP,,6,0,0%,Real Estate,California,SANTA MONICA 
Aon plc,,11,3,27%,Financial Services,,LONDON 
APACHE CORP,,11,2,18%,Energy,Texas,HOUSTON 
APARTMENT INVESTMENT & MANAGEMENT CO,,7,2,29%,Real Estate,Colorado,DENVER 
APOGEE ENTERPRISES INC.,,9,2,22%,,,MINNEAPOLIS 
Apollo Commercial Real Estate Finance Inc.,,8,1,13%,,,NEW YORK 
Apollo Education Group Inc.,,12,4,33%,Consumer Defensive,Arizona,Phoenix 
Apollo Global Management LLC,,8,1,13%,Financial Services,New York,New York 
APPFOLIO INC,,7,1,14%,,,GOLETA 
Apple Hospitality REIT Inc.,,7,0,0%,,,RICHMOND 
Apple Inc.,,8,2,25%,Technology,California,CUPERTINO 
Appliance Recycling Centers of America Inc.,,4,0,0%,Consumer Cyclical,Minnesota,Minneapolis 
APPLIED INDUSTRIAL TECHNOLOGIES INC,,9,2,22%,Industrials,Ohio,CLEVELAND 
APPLIED MATERIALS INC /DE,,9,2,22%,Technology,California,SANTA CLARA 
Applied Micro Circuits Corporation,,7,0,0%,Technology,California,Sunnyvale 
APPLIED OPTOELECTRONICS INC,,7,0,0%,,,SUGAR LAND 
Approach Resources Inc,,8,0,0%,,,FORT WORTH 
Apria Healthcare Group Inc.,,6,0,0%,Healthcare,California,Lake Forest 
APTARGROUP INC,,10,3,30%,Consumer Cyclical,Illinois,CRYSTAL LAKE 
AQUA AMERICA INC,,8,2,25%,Utilities,Pennsylvania,BRYN MAWR 
Aqua Metals Inc.,,5,0,0%,,,ALAMEDA 
Aramark,,10,3,30%,Consumer Cyclical,Pennsylvania,PHILADELPHIA 
ARATANA THERAPEUTICS INC.,,9,3,33%,,,LEAWOOD 
ARC DOCUMENT SOLUTIONS INC.,,7,0,0%,,,WALNUT CREEK 
ARCBEST CORP /DE/,,9,3,33%,Industrials,Arkansas,FORT SMITH 
ARCH CAPITAL GROUP LTD.,,10,0,0%,Financial Services,,PEMBROKE 
