Company,2020 Rating,Total Board,# of women,% of Women,Sector,State,City
DUPONT E I DE NEMOURS & CO,,10,2,20%,Basic Materials,Delaware,WILMINGTON
DuPont Fabros Technology Inc.,,8,1,13%,Real Estate,District of Columbia,WASHINGTON
DURECT CORP,,7,0,0%,,,CUPERTINO
DXC Technology Co,,10,2,20%,,,TYSONS
DXP ENTERPRISES INC,,4,0,0%,,,HOUSTON
DYCOM INDUSTRIES INC,,8,2,25%,Industrials,Florida,PALM BEACH GARDENS
DYNAVAX TECHNOLOGIES CORP,,9,2,22%,,,BERKELEY
DYNEGY INC.,,8,1,13%,Utilities,Texas,HOUSTON
DYNEX CAPITAL INC,,5,1,20%,Real Estate,Virginia,GLEN ALLEN
E TRADE FINANCIAL CORP,,12,3,25%,Financial Services,New York,NEW YORK
E.W. SCRIPPS Co,,11,2,18%,,,CINCINNATI
EAGLE BANCORP INC,,7,0,0%,Financial Services,Maryland,BETHESDA
EAGLE MATERIALS INC,,8,0,0%,,,DALLAS
EAGLE PHARMACEUTICALS INC.,,7,0,0%,,,WOODCLIFF LAKE
EarthLink Inc.,,8,3,38%,Communication Services,Georgia,Atlanta
EARTHSTONE ENERGY INC,,8,0,0%,,,THE WOODLANDS
EAST WEST BANCORP INC,,9,2,22%,Financial Services,California,PASADENA
Easterly Government Properties Inc.,,7,1,14%,,,WASHINGTON
Eastern Bank Corporation,,15,3,20%,Financial Services,Massachusetts,Boston
EASTERN CO,,6,0,0%,,,NAUGATUCK
Eastern Virginia Bankshares Inc.,,12,0,0%,Financial Services,Virginia,Tappahannock
EASTGROUP PROPERTIES INC,,9,1,11%,,,JACKSON
EASTMAN CHEMICAL CO,,12,2,17%,Basic Materials,Tennessee,KINGSPORT
EASTMAN KODAK COMPANY,,10,0,0%,Technology,New York,ROCHESTER
Eaton Corp plc,,12,3,25%,Industrials,,DUBLIN
EATON VANCE CORP,,7,2,29%,Financial Services,Massachusetts,BOSTON
EBAY INC,,12,2,17%,Consumer Cyclical,California,SAN JOSE
EBIX INC,,8,0,0%,,,JOHNS CREEK
Echelon Corporation,,5,1,20%,Technology,California,Santa Clara
Echo Global Logistics Inc.,,6,1,17%,,,CHICAGO
EchoStar CORP,,8,0,0%,Technology,Colorado,ENGLEWOOD
Eclipse Resources Corp,,9,0,0%,,,STATE COLLEGE
ECOLAB INC,,13,4,31%,Basic Materials,Minnesota,ST. PAUL
Edge Therapeutics Inc.,,9,0,0%,,,BERKELEY HEIGHTS
EDGEWELL PERSONAL CARE Co,,8,2,25%,Consumer Defensive,Missouri,CHESTERFIELD
EDISON INTERNATIONAL,,10,3,30%,Utilities,California,ROSEMEAD
Editas Medicine Inc.,,7,1,14%,,,CAMBRIDGE
Education Management Corporation,,5,0,0%,Consumer Defensive,Pennsylvania,Pittsburgh
Education Realty Trust Inc.,,8,1,13%,,,MEMPHIS
Edwards Lifesciences Corp,,8,2,25%,Healthcare,California,IRVINE
eHealth Inc.,,5,1,20%,Financial Services,California,MOUNTAIN VIEW
EL PASO ELECTRIC CO /TX/,,9,2,22%,,,EL PASO
El Pollo Loco Holdings Inc.,,8,1,13%,,,COSTA MESA
Eldorado Resorts Inc.,,9,1,11%,,,RENO
Electro Rent Corporation,,6,2,33%,Industrials,California,Van Nuys
ELECTRO SCIENTIFIC INDUSTRIES INC,,6,0,0%,,,PORTLAND
ELECTRONIC ARTS INC.,,10,2,20%,Technology,California,REDWOOD CITY
ELECTRONICS FOR IMAGING INC,,6,0,0%,Technology,California,FREMONT
Elevate Credit Inc.,,9,1,11%,,,FORT WORTH
Elizabeth Arden,,7,1,14%,Consumer Defensive,Florida,Pembroke Pines
ELLIE MAE INC,,11,2,18%,Technology,California,PLEASANTON
eMagin Corp,,7,2,29%,Technology,New York,New York
EMC INSURANCE GROUP INC,,5,1,20%,,,DES MOINES
EMCOR GROUP INC,,11,1,9%,Industrials,Connecticut,NORWALK
EMCORE CORP,,5,0,0%,,,ALHAMBRA
Emerald Expositions Events Inc.,,6,0,0%,,,SAN JUAN CAPISTRANO
Emergent BioSolutions Inc.,,9,2,22%,Healthcare,Maryland,GAITHERSBURG
EMERSON ELECTRIC COMPANY,,10,2,20%,Industrials,Missouri,ST. LOUIS
EMPIRE RESORTS INC,,6,1,17%,,,MONTICELLO
Empire State Realty Trust Inc.,,7,1,14%,,,NEW YORK
Employers Holdings Inc.,,9,2,22%,,,RENO
Enable Midstream Partners LP,,9,0,0%,Energy,Oklahoma,Oklahoma City
ENANTA PHARMACEUTICALS INC,,6,1,17%,,,WATERTOWN
Enbridge Energy Partners L.P.,,9,0,0%,Energy,Texas,Houston
ENCORE CAPITAL GROUP INC,,9,2,22%,Financial Services,California,SAN DIEGO
ENCORE WIRE CORP,,6,0,0%,,,MCKINNEY
Endo International plc,,9,2,22%,Healthcare,,DUBLIN
ENDOLOGIX INC /DE/,,8,1,13%,Healthcare,California,IRVINE
Endurance International Group Holdings Inc.,,9,0,0%,,,BURLINGTON
Endurance Specialty Holdings Ltd.,,14,1,7%,Financial Services,,Pembroke
ENERGEN CORP,,9,1,11%,Energy,Alabama,BIRMINGHAM
ENERGIZER HOLDINGS INC.,,10,1,10%,,,ST. LOUIS
Energous Corp,,6,0,0%,,,SAN JOSE
Energy Recovery Inc.,,8,0,0%,Industrials,California,SAN LEANDRO
Energy Transfer Equity L.P.,,8,0,0%,Energy,Texas,Dallas
Energy XXI Ltd,,7,0,0%,,,HAMILTON
ENERNOC INC,,7,1,14%,Industrials,Massachusetts,BOSTON
EnerSys,,8,0,0%,Technology,Pennsylvania,READING
Engility Holdings Inc.,,10,1,10%,Industrials,Virginia,CHANTILLY
Enlight Research LLC,,5,1,20%,Technology,North Carolina,Durham
ENNIS INC.,,9,0,0%,,,MIDLOTHIAN
Enova International Inc.,,9,1,11%,,,CHICAGO
Enphase Energy Inc.,,6,0,0%,Technology,California,Petaluma
ENPRO INDUSTRIES INC,,8,1,13%,,,CHARLOTTE
Ensco plc,,9,2,22%,,,LONDON
ENSIGN GROUP INC,,7,1,14%,Healthcare,California,MISSION VIEJO
Enstar Group LTD,,10,1,10%,,,HAMILTON
ENTEGRIS INC,,8,0,0%,Technology,Massachusetts,BILLERICA
ENTELLUS MEDICAL INC,,7,0,0%,,,PLYMOUTH
ENTERCOM COMMUNICATIONS CORP,,6,0,0%,,,BALA CYNWYD
ENTERGY CORP /DE/,,11,4,36%,Utilities,Louisiana,NEW ORLEANS
ENTERPRISE BANCORP INC /MA/,,18,5,28%,,,LOWELL
ENTERPRISE FINANCIAL SERVICES CORP,,12,3,25%,,,CLAYTON
Enterprise Products Partners L.P.,,10,2,20%,Energy,Texas,Houston
ENTRAVISION COMMUNICATIONS CORP,,6,2,33%,Consumer Cyclical,California,SANTA MONICA
ENVESTNET INC.,,9,1,11%,,,CHICAGO
EnviroStar Inc.,,8,0,0%,,,MIAMI
Envision Healthcare Corp,,13,2,15%,Healthcare,Colorado,NASHVILLE
ENZO BIOCHEM INC,,5,0,0%,,,NEW YORK
EOG RESOURCES INC,,7,1,14%,Energy,Texas,HOUSTON
EP Energy Corp,,12,0,0%,Energy,Texas,HOUSTON
EPAM Systems Inc.,,7,1,14%,,,NEWTOWN
Epizyme Inc.,,8,1,13%,,,CAMBRIDGE
EPLUS INC,,8,0,0%,Technology,Virginia,HERNDON
EPR PROPERTIES,,7,1,14%,,,KANSAS CITY
EQT Corp,,11,3,27%,Energy,Pennsylvania,PITTSBURGH
EQUIFAX INC,,11,2,18%,Industrials,Georgia,ATLANTA
EQUINIX INC,,10,1,10%,Real Estate,California,REDWOOD CITY
EQUITY BANCSHARES INC,,14,1,7%,,,WICHITA
Equity Commonwealth,,11,1,9%,Real Estate,Illinois,CHICAGO
EQUITY LIFESTYLE PROPERTIES INC,,10,2,20%,,,CHICAGO
Equity One,,9,2,22%,Real Estate,New York,New York
EQUITY RESIDENTIAL,,12,3,25%,Real Estate,Illinois,CHICAGO
ERA GROUP INC.,,7,2,29%,,,HOUSTON
ERIE INDEMNITY CO,,13,2,15%,Financial Services,Pennsylvania,ERIE
Erie Insurance Group,,13,2,15%,Financial Services,Pennsylvania,Erie
Eros International plc,,9,2,22%,,,SECAUCUS
ESCALADE INC,,7,0,0%,,,EVANSVILLE
ESCO TECHNOLOGIES INC,,7,0,0%,,,ST. LOUIS
Esperion Therapeutics Inc.,,9,1,11%,,,ANN ARBOR
ESSA Bancorp Inc.,,10,2,20%,,,STROUDSBURG
ESSENDANT INC,,10,2,20%,Industrials,Illinois,DEERFIELD
Essent Group Ltd.,,9,0,0%,,,HAMILTON
ESSEX PROPERTY TRUST INC,,9,1,11%,Real Estate,California,SAN MATEO
ESTEE LAUDER COMPANIES INC,,15,6,40%,Consumer Defensive,New York,NEW YORK
ESTERLINE TECHNOLOGIES CORP,,9,2,22%,Industrials,Washington,BELLEVUE
ETHAN ALLEN INTERIORS INC,,7,2,29%,,,DANBURY
ETSY INC,,7,3,43%,Consumer Cyclical,New York,BROOKLYN
EURONET WORLDWIDE INC,,8,1,13%,,,LEAWOOD
EVANS BANCORP INC,,12,1,8%,,,HAMBURG
EverBank Financial,,11,1,9%,Financial Services,Florida,Jacksonville
Evercore Partners Inc.,,9,1,11%,,,NEW YORK CITY
EVEREST RE GROUP LTD,,8,1,13%,Financial Services,,HAMILTON
Everi Holdings Inc.,,6,1,17%,,,LAS VEGAS
Eversource Energy,,12,2,17%,Utilities,Massachusetts,SPRINGFIELD
EVERTEC Inc.,,9,2,22%,,,SAN JUAN
Evolent Health Inc.,,10,2,20%,,,ARLINGTON
EVOLUTION PETROLEUM CORP,,5,0,0%,,,HOUSTON
EXA CORP,,6,0,0%,,,BURLINGTON
EXACT SCIENCES CORP,,10,1,10%,,,MADISON
EXACTECH INC,,7,1,14%,Healthcare,Florida,GAINESVILLE
Exar Corporation,,7,0,0%,Technology,California,Fremont
EXCO Resources Inc.,,7,0,0%,Energy,Texas,Dallas
EXELIXIS INC.,,11,1,9%,Healthcare,California,SOUTH SAN FRANCISCO
EXELON CORP,,13,3,23%,Utilities,Illinois,CHICAGO
Exide Technologies Inc.,,8,0,0%,Industrials,Georgia,Milton
ExlService Holdings Inc.,,8,2,25%,,,NEW YORK
ExOne Co,,7,1,14%,,,NORTH HUNTINGDON
Expedia Inc.,,14,3,21%,Consumer Cyclical,Washington,BELLEVUE
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,,11,2,18%,Industrials,Washington,SEATTLE
EXPONENT INC,,6,3,50%,Industrials,California,MENLO PARK
EXPRESS INC.,,7,2,29%,Consumer Cyclical,Ohio,COLUMBUS
Express Scripts Holding Co.,,12,1,8%,Healthcare,Missouri,SAINT LOUIS
Extended Stay America Inc.,,7,1,14%,,,CHARLOTTE
Exterran Corp,,8,0,0%,,,HOUSTON
Extra Space Storage Inc.,,7,1,14%,,,SALT LAKE CITY
EXTREME NETWORKS INC,,7,1,14%,Technology,California,SAN JOSE
Exxon Mobil Corporation,,11,4,36%,Energy,Texas,IRVING
EZCORP INC,,8,0,0%,,,AUSTIN
F5 NETWORKS INC,,9,2,22%,Technology,Washington,SEATTLE
Fabrinet,,5,1,20%,,,GEORGE TOWN
Facebook Inc,,8,2,25%,Technology,California,MENLO PARK
FACTSET RESEARCH SYSTEMS INC,,9,3,33%,Industrials,Connecticut,NORWALK
FAIR ISAAC CORP,,9,1,11%,Technology,California,SAN JOSE
Fairchild Semiconductor International Inc.,,9,1,11%,Technology,California,San Jose
Fairmount Santrol Holdings Inc.,,10,1,10%,,,CHESTERLAND
FAIRPOINT COMMUNICATIONS INC,,9,0,0%,,,CHARLOTTE
Famous Dave's of America Inc.,,7,0,0%,Consumer Cyclical,Minnesota,Minnetonka
Fannie Mae,,12,3,25%,Financial Services,District of Columbia,Washington
FARMER BROTHERS CO,,7,2,29%,,,FORT WORTH
FARMERS & MERCHANTS BANCORP INC,,11,2,18%,,,ARCHBOLD
FARMERS CAPITAL BANK CORP,,12,1,8%,,,FRANKFORT
FARMERS NATIONAL BANC CORP /OH/,,11,1,9%,,,CANFIELD
Farmland Partners Inc.,,8,0,0%,,,DENVER
FARO TECHNOLOGIES INC,,6,1,17%,Technology,Florida,LAKE MARY
FASTENAL CO,,10,2,20%,Industrials,Minnesota,WINONA
FATE THERAPEUTICS INC,,7,0,0%,,,SAN DIEGO
Fauquier Bankshares Inc.,,9,1,11%,Financial Services,Virginia,Warrenton
FB FINANCIAL CORP,,9,2,22%,,,NASHVILLE
FBL FINANCIAL GROUP INC,,10,0,0%,,,WEST DES MOINES
FBR & Co,,8,2,25%,Financial Services,Virginia,Arlington
FCB FINANCIAL HOLDINGS INC.,,11,0,0%,,,WESTON
FEDERAL AGRICULTURAL MORTGAGE CORP,,15,1,7%,Financial Services,District of Columbia,WASHINGTON
FEDERAL REALTY INVESTMENT TRUST,,7,2,29%,Real Estate,Maryland,ROCKVILLE
FEDERAL SIGNAL CORP /DE/,,9,3,33%,,,OAK BROOK
Federal-Mogul Corporation,,10,0,0%,Consumer Cyclical,Michigan,Southfield
FEDERATED INVESTORS INC /PA/,,7,1,14%,Financial Services,Pennsylvania,PITTSBURGH
FEDERATED NATIONAL HOLDING CO,,6,1,17%,Financial Services,Florida,SUNRISE
FEDEX CORP,,12,3,25%,Industrials,Tennessee,MEMPHIS
FelCor Lodging Trust Inc,,8,2,25%,,,IRVING
Ferrellgas Partners LP,,8,1,13%,Energy,Kansas,Overland Park
FERRO CORP,,7,0,0%,Basic Materials,Ohio,MAYFIELD HEIGHTS
FIBROGEN INC,,11,0,0%,,,SAN FRANCISCO
Fidelity & Guaranty Life,,7,0,0%,,,DES MOINES
Fidelity National Financial Inc.,,13,2,15%,Financial Services,Florida,JACKSONVILLE
Fidelity National Information Services Inc.,,9,1,11%,Technology,Florida,JACKSONVILLE
FIDELITY SOUTHERN CORP,,9,0,0%,,,ATLANTA
Fiesta Restaurant Group Inc.,,9,1,11%,,,DALLAS
Fifth Street Asset Management Inc.,,7,1,14%,,,GREENWICH
FIFTH THIRD BANCORP,,12,4,33%,Financial Services,Ohio,CINCINNATI
Financial Engines Inc.,,9,2,22%,Financial Services,California,SUNNYVALE
FINANCIAL INSTITUTIONS INC,,11,2,18%,,,WARSAW
FINISAR CORP,,6,0,0%,Technology,California,SUNNYVALE
FINISH LINE INC /IN/,,7,1,14%,,,INDIANAPOLIS
FireEye Inc.,,6,1,17%,,,MILPITAS
First American Financial Corporation,,9,2,22%,Financial Services,California,SANTA ANA
FIRST BANCORP /NC/,,12,3,25%,,,SOUTHERN PINES
FIRST BANCORP /PR/,,9,1,11%,,,SANTURCE
First Bancorp Inc /ME/,,9,2,22%,,,DAMARISCOTTA
FIRST BUSEY CORP /NV/,,13,1,8%,,,CHAMPAIGN
FIRST BUSINESS FINANCIAL SERVICES INC.,,9,2,22%,,,MADISON
FIRST CITIZENS BANCSHARES INC /DE/,,13,1,8%,Financial Services,North Carolina,RALEIGH
FIRST COMMONWEALTH FINANCIAL CORP /PA/,,12,2,17%,,,INDIANA
FIRST COMMUNITY BANCSHARES INC /NV/,,8,0,0%,Financial Services,Virginia,BLUEFIELD
First Community Financial Partners Inc.,,17,2,12%,,,JOLIET
First Connecticut Bancorp Inc.,,8,1,13%,,,FARMINGTON
FIRST DATA CORP,,8,2,25%,Industrials,New York,ATLANTA
FIRST DEFIANCE FINANCIAL CORP,,11,2,18%,,,DEFIANCE
FIRST FINANCIAL BANCORP /OH/,,13,4,31%,,,CINCINNATI
FIRST FINANCIAL BANKSHARES INC,,11,1,9%,Financial Services,Texas,ABILENE
FIRST FINANCIAL CORP /IN/,,10,1,10%,Financial Services,Indiana,TERRE HAUTE
First Financial Northwest Inc.,,8,1,13%,,,RENTON
First Foundation Inc.,,9,0,0%,,,IRVINE
First Guaranty Bancshares Inc.,,5,1,20%,,,HAMMOND
FIRST HORIZON NATIONAL CORP,,11,2,18%,Financial Services,Tennessee,MEMPHIS
FIRST INDUSTRIAL REALTY TRUST INC,,7,0,0%,,,CHICAGO
First Internet Bancorp,,7,2,29%,,,FISHERS
FIRST INTERSTATE BANCSYSTEM INC,,15,2,13%,,,BILLINGS
FIRST MERCHANTS CORP,,10,1,10%,,,MUNCIE
FIRST MID ILLINOIS BANCSHARES INC,,9,2,22%,,,MATTOON
FIRST MIDWEST BANCORP INC,,15,3,20%,,,ITASCA
First Northwest Bancorp,,10,2,20%,,,PORT ANGELES
FIRST OF LONG ISLAND CORP,,10,1,10%,Financial Services,New York,GLEN HEAD
FIRST POTOMAC REALTY TRUST,,6,1,17%,Real Estate,Maryland,BETHESDA
FIRST REPUBLIC BANK,,12,4,33%,Financial Services,California,SAN FRANCISCO
FIRST SOLAR INC.,,11,1,9%,Technology,Arizona,TEMPE
First United Corporation,,12,4,33%,Financial Services,Maryland,Oakland
FIRSTCASH INC,,7,0,0%,,,FORT WORTH
FIRSTENERGY CORP,,13,2,15%,Utilities,Ohio,AKRON
FirstService,,7,0,0%,Real Estate,Florida,
FISERV INC,,9,2,22%,Industrials,Wisconsin,BROOKFIELD
FITBIT INC,,7,2,29%,Technology,California,SAN FRANCISCO
FIVE BELOW INC,,9,2,22%,Consumer Cyclical,Pennsylvania,PHILADELPHIA
FIVE PRIME THERAPEUTICS INC,,9,1,11%,,,SOUTH SAN FRANCISCO
Five Star Quality Care Inc.,,5,2,40%,Healthcare,Massachusetts,Newton
Five9 Inc.,,7,1,14%,,,SAN RAMON
FLAGSTAR BANCORP INC,,9,1,11%,,,TROY
Flanigan's Enterprises Inc.,,9,2,22%,Consumer Cyclical,Florida,Ft. Lauderdale
FLEETCOR TECHNOLOGIES INC,,9,1,11%,Industrials,Georgia,NORCROSS
Flexion Therapeutics Inc,,9,1,11%,,,BURLINGTON
FLEXSTEEL INDUSTRIES INC,,8,3,38%,,,DUBUQUE
FLIR SYSTEMS INC,,10,2,20%,Technology,Oregon,WILSONVILLE
Floor & Decor Holdings Inc.,,11,2,18%,,,SMYRNA
FLOTEK INDUSTRIES INC/CN/,,8,2,25%,,,HOUSTON
FLOWERS FOODS INC,,12,2,17%,Consumer Defensive,Georgia,THOMASVILLE
FLOWSERVE CORP,,8,1,13%,Industrials,Texas,IRVING
FLUIDIGM CORP,,6,0,0%,Healthcare,California,SOUTH SAN FRANCISCO
FLUOR CORP,,13,2,15%,Industrials,Texas,IRVING
FLUSHING FINANCIAL CORP,,12,2,17%,,,UNIONDALE
FM Global,,13,2,15%,Financial Services,Rhode Island,Johnston
FMC CORP,,11,2,18%,Basic Materials,Pennsylvania,PHILADELPHIA
FMC Technologies Inc.,,11,2,18%,Energy,Texas,Houston
FNB BANCORP/CA/,,9,2,22%,,,SOUTH SAN FRANCISCO
FNB CORP/PA/,,14,2,14%,Financial Services,Pennsylvania,PITTSBURGH
Fogo de Chao Inc.,,7,0,0%,,,DALLAS
FONAR CORP,,5,1,20%,,,MELVILLE
FOOT LOCKER INC,,11,4,36%,Consumer Cyclical,New York,NEW YORK
FORD MOTOR CO,,14,3,21%,Consumer Cyclical,Michigan,DEARBORN
FOREIGN TRADE BANK OF LATIN AMERICA INC.,,10,1,10%,,,PANAMA
Forest City Realty Trust Inc.,,13,4,31%,Real Estate,Ohio,CLEVELAND
Forestar Group Inc.,,7,0,0%,,,AUSTIN
FORMFACTOR INC,,8,1,13%,Technology,California,LIVERMORE
FORRESTER RESEARCH INC,,6,1,17%,Industrials,Massachusetts,CAMBRIDGE
FORTINET INC,,7,1,14%,Technology,California,SUNNYVALE
Fortive Corp,,7,1,14%,,,EVERETT
Fortress Biotech Inc.,,7,0,0%,,,NEW YORK
Fortune Brands Home & Security Inc.,,8,2,25%,Consumer Cyclical,Illinois,DEERFIELD
FORUM ENERGY TECHNOLOGIES INC.,,11,1,9%,,,HOUSTON
FORWARD AIR CORP,,7,0,0%,,,GREENEVILLE
Fossil Group Inc.,,9,2,22%,Consumer Cyclical,Texas,RICHARDSON
FOSTER L B CO,,8,2,25%,,,PITTSBURGH
Foundation Building Materials Inc.,,11,0,0%,,,TUSTIN
Foundation Medicine Inc.,,9,1,11%,,,CAMBRIDGE
Four Corners Property Trust Inc.,,5,1,20%,,,MILL VALLEY
FOX FACTORY HOLDING CORP,,6,0,0%,,,SCOTTS VALLEY
Francesca's Holdings CORP,,9,3,33%,Consumer Cyclical,Texas,HOUSTON
Frank's International N.V.,,9,0,0%,,,AMSTERDAM
FRANKLIN COVEY CO,,8,2,25%,,,SALT LAKE CITY
FRANKLIN ELECTRIC CO INC,,7,2,29%,,,FORT WAYNE
Franklin Financial Network Inc.,,8,2,25%,,,FRANKLIN
FRANKLIN RESOURCES INC,,10,2,20%,Financial Services,California,SAN MATEO
FRANKLIN STREET PROPERTIES CORP /MA/,,7,2,29%,Real Estate,Massachusetts,WAKEFIELD
Freddie Mac,,12,2,17%,Financial Services,Virginia,McLean
FREDS INC,,9,2,22%,Consumer Defensive,Tennessee,MEMPHIS
FREEPORT-MCMORAN INC,,8,2,25%,Basic Materials,Arizona,PHOENIX
FreightCar America Inc.,,7,0,0%,,,CHICAGO
FRESH DEL MONTE PRODUCE INC,,9,1,11%,Consumer Defensive,Florida,CORAL GABLES
Freshpet Inc.,,10,0,0%,,,SECAUCUS
FRONTIER COMMUNICATIONS CORP,,10,3,30%,Communication Services,Connecticut,NORWALK
FRONTLINE LTD,,5,2,40%,,,HAMILTON
FRP HOLDINGS INC.,,6,0,0%,,,JACKSONVILLE
FTD Companies Inc.,,10,4,40%,,,DOWNERS GROVE
FTI CONSULTING INC,,8,2,25%,Industrials,Washington,WASHINGTON
FULLER H B CO,,8,1,13%,Basic Materials,Minnesota,SAINT PAUL
FULTON FINANCIAL CORP,,12,2,17%,Financial Services,Pennsylvania,LANCASTER
FutureFuel Corp.,,8,0,0%,,,CLAYTON
G III APPAREL GROUP LTD /DE/,,11,3,27%,Consumer Cyclical,New York,NEW YORK
G&K Services Inc.,,8,2,25%,Industrials,Minnesota,Minnetonka
GAIA INC,,7,2,29%,,,LOUISVILLE
GAIN Capital Holdings Inc.,,6,0,0%,,,BEDMINSTER
GALLAGHER ARTHUR J & CO,,10,2,20%,Financial Services,Illinois,ITASCA
GAMCO INVESTORS INC. ET AL,,7,1,14%,,,RYE
GameStop Corp.,,10,2,20%,Consumer Cyclical,Texas,GRAPEVINE
Gaming & Leisure Properties Inc.,,6,0,0%,,,WYOMISSING
Gannett Co. Inc.,,10,3,30%,Consumer Cyclical,Virginia,MCLEAN
GAP INC,,10,3,30%,Consumer Cyclical,California,SAN FRANCISCO
Gardner Denver Inc.,,9,1,11%,Technology,Wisconsin,Milwaukee
GARDNER DENVER HOLDINGS INC.,,9,0,0%,,,MILWAUKEE
GARMIN LTD,,6,1,17%,Technology,Kansas,SCHAFFHAUSEN
GARTNER INC,,10,2,20%,Technology,Connecticut,STAMFORD
GASLOG LTD.,,10,0,0%,,,MONACO
GATX CORP,,10,2,20%,Industrials,Illinois,CHICAGO
GCP Applied Technologies Inc.,,8,3,38%,,,CAMBRIDGE
GENCO SHIPPING & TRADING LTD,,9,1,11%,,,NEW YORK
GENCOR INDUSTRIES INC,,6,0,0%,,,ORLANDO
Gener8 Maritime Inc.,,7,0,0%,,,NEW YORK
GENERAC HOLDINGS INC.,,10,1,10%,,,WAUKESHA
GENERAL CABLE CORP /DE/,,7,1,14%,Industrials,Kentucky,HIGHLAND HEIGHTS
GENERAL COMMUNICATION INC,,10,1,10%,,,ANCHORAGE
GENERAL DYNAMICS CORP,,11,3,27%,Industrials,Virginia,FALLS CHURCH
GENERAL ELECTRIC CO,,18,5,28%,Industrials,Connecticut,BOSTON
GENERAL MILLS INC,,13,4,31%,Consumer Defensive,Minnesota,MINNEAPOLIS
General Motors Co,,11,5,45%,Consumer Cyclical,Michigan,DETROIT
GENESCO INC,,10,2,20%,Consumer Cyclical,Tennessee,NASHVILLE
GENESEE & WYOMING INC,,10,1,10%,Industrials,Connecticut,DARIEN
Genesis Energy LP,,8,1,13%,Energy,Texas,Houston
Genesis Healthcare Inc.,,9,1,11%,Healthcare,Pennsylvania,KENNETT SQUARE
Genie Energy Ltd.,,5,0,0%,,,NEWARK
GenMark Diagnostics Inc.,,6,1,17%,Healthcare,California,CARLSBAD
GENOCEA BIOSCIENCES INC.,,7,1,14%,,,CAMBRIDGE
GENOMIC HEALTH INC,,7,2,29%,Healthcare,California,REDWOOD CITY
Genpact LTD,,11,3,27%,Industrials,,HAMILTON
GENTEX CORP,,9,1,11%,Consumer Cyclical,Michigan,ZEELAND
GENTHERM Inc,,8,2,25%,,,NORTHVILLE
GENUINE PARTS CO,,11,3,27%,Consumer Cyclical,Georgia,ATLANTA
GenVec Inc.,,7,0,0%,Healthcare,Maryland,Gaithersburg
GENWORTH FINANCIAL INC,,10,2,20%,Financial Services,Virginia,RICHMOND
GEO GROUP INC,,6,2,33%,Real Estate,Florida,BOCA RATON
GEOSPACE TECHNOLOGIES CORP,,9,1,11%,,,HOUSTON
GERMAN AMERICAN BANCORP INC.,,12,1,8%,Financial Services,Indiana,JASPER
GERON CORP,,7,2,29%,,,MENLO PARK
GETTY REALTY CORP /MD/,,6,0,0%,,,JERICHO
GGP Inc.,,9,3,33%,Real Estate,Illinois,CHICAGO
GIBRALTAR INDUSTRIES INC.,,7,2,29%,,,BUFFALO
Gigamon Inc.,,10,1,10%,,,SANTA CLARA
GILEAD SCIENCES INC,,9,2,22%,Healthcare,California,FOSTER CITY
GLACIER BANCORP INC,,10,2,20%,,,KALISPELL
Gladstone Capital Corporation,,8,2,25%,Financial Services,Virginia,McLean
GLADSTONE COMMERCIAL CORP,,8,2,25%,,,MCLEAN
GLATFELTER P H CO,,9,1,11%,,,YORK
GLAUKOS Corp,,8,1,13%,,,SAN CLEMENTE
GlaxoSmithKline,,15,4,27%,Healthcare,,Middlesex
Glen Burnie Bancorp,,11,2,18%,Financial Services,Maryland,Glen Burnie
Global Blood Therapeutics Inc.,,8,0,0%,,,SOUTH SAN FRANCISCO
GLOBAL BRASS & COPPER HOLDINGS INC.,,7,1,14%,,,SCHAUMBURG
Global Indemnity Ltd,,7,1,14%,,,GEORGE TOWN
Global Medical REIT Inc.,,9,1,11%,,,BETHESDA
Global Net Lease Inc.,,6,2,33%,,,NEW YORK
Global Partners LP,,7,1,14%,Energy,Massachusetts,Waltham
GLOBAL PAYMENTS INC,,9,1,11%,Industrials,Georgia,ATLANTA
GLOBAL SOURCES LTD /BERMUDA,,6,2,33%,,,HAMILTON
Global Water Resources Inc.,,7,2,29%,,,PHOENIX
Globalstar Inc.,,7,0,0%,,,COVINGTON
GLOBUS MEDICAL INC,,8,1,13%,,,AUDUBON
GLU MOBILE INC,,8,1,13%,,,SAN FRANCISCO
GMS INC.,,10,0,0%,,,TUCKER
GNC HOLDINGS INC.,,7,1,14%,Consumer Defensive,Pennsylvania,PITTSBURGH
GoDaddy Inc.,,10,1,10%,,,SCOTTSDALE
Gogo Inc.,,10,1,10%,,,CHICAGO
GOLAR LNG LTD,,7,1,14%,,,HAMILTON
GOLD RESOURCE CORP,,4,0,0%,,,COLORADO SPRINGS
GOLDEN ENTERTAINMENT INC.,,7,0,0%,,,LAS VEGAS
GOLDMAN SACHS GROUP INC,,11,2,18%,Financial Services,New York,NEW YORK
GOODYEAR TIRE & RUBBER CO /OH/,,13,2,15%,Consumer Cyclical,Ohio,AKRON
GoPro Inc.,,7,2,29%,Technology,California,SAN MATEO
GORMAN RUPP CO,,8,1,13%,,,MANSFIELD
Government Properties Income Trust,,6,2,33%,Real Estate,Massachusetts,NEWTON
GP STRATEGIES CORP,,7,0,0%,Consumer Defensive,Maryland,COLUMBIA
GRACO INC,,9,2,22%,Industrials,Minnesota,MINNEAPOLIS
GRAHAM CORP,,7,1,14%,,,BATAVIA
